('hsa-miR-552-3p', 'MIMAT0003215')
('hsa-miR-2277-3p', 'MIMAT0011777')
('hsa-miR-513a-5p', 'MIMAT0002877')
('hsa-miR-199b-5p', 'MIMAT0000263')
('hsa-miR-133a-3p', 'MIMAT0000427')
('hsa-miR-3200-3p', 'MIMAT0015085')
('hsa-miR-889-3p', 'MIMAT0004921')
('hsa-miR-30d-5p', 'MIMAT0000245')
('hsa-miR-3678-5p', 'MIMAT0018102')
('hsa-miR-504-5p', 'MIMAT0002875')
('hsa-miR-107', 'MIMAT0000104')
('hsa-miR-1271-5p', 'MIMAT0005796')
('hsa-miR-510-3p', 'MIMAT0026613')
('hsa-miR-1537-5p', 'MIMAT0026765')
('hsa-miR-221-3p', 'MIMAT0000278')
('hsa-miR-485-3p', 'MIMAT0002176')
('hsa-miR-186-5p', 'MIMAT0000456')
('hsa-miR-3913-5p', 'MIMAT0018187')
('hsa-miR-577', 'MIMAT0003242')
('hsa-miR-877-3p', 'MIMAT0004950')
('hsa-let-7a-2-3p', 'MIMAT0010195')
('hsa-miR-1224-5p', 'MIMAT0005458')
('hsa-miR-431-3p', 'MIMAT0004757')
('hsa-miR-140-3p', 'MIMAT0004597')
('hsa-miR-760', 'MIMAT0004957')
('hsa-miR-15b-3p', 'MIMAT0004586')
('hsa-miR-579-5p', 'MIMAT0026616')
('hsa-miR-138-5p', 'MIMAT0000430')
('hsa-miR-3613-5p', 'MIMAT0017990')
('hsa-miR-144-5p', 'MIMAT0004600')
('hsa-miR-328-3p', 'MIMAT0000752')
('hsa-miR-33a-3p', 'MIMAT0004506')
('hsa-miR-214-5p', 'MIMAT0004564')
('hsa-miR-204-5p', 'MIMAT0000265')
('hsa-miR-656-3p', 'MIMAT0003332')
('hsa-miR-494-3p', 'MIMAT0002816')
('hsa-miR-3651', 'MIMAT0018071')
('hsa-miR-33b-3p', 'MIMAT0004811')
('hsa-miR-151a-5p', 'MIMAT0004697')
('hsa-miR-205-5p', 'MIMAT0000266')
('hsa-miR-26b-5p', 'MIMAT0000083')
('hsa-miR-888-5p', 'MIMAT0004916')
('hsa-miR-33a-5p', 'MIMAT0000091')
('hsa-miR-1247-3p', 'MIMAT0022721')
('hsa-miR-381-5p', 'MIMAT0022862')
('hsa-miR-222-5p', 'MIMAT0004569')
('hsa-miR-449a', 'MIMAT0001541')
('hsa-miR-1229-3p', 'MIMAT0005584')
('hsa-miR-29b-2-5p', 'MIMAT0004515')
('hsa-miR-27a-3p', 'MIMAT0000084')
('hsa-miR-455-3p', 'MIMAT0004784')
('hsa-miR-3620-3p', 'MIMAT0018001')
('hsa-miR-10b-5p', 'MIMAT0000254')
('hsa-miR-1307-5p', 'MIMAT0022727')
('hsa-miR-224-3p', 'MIMAT0009198')
('hsa-miR-509-3-5p', 'MIMAT0004975')
('hsa-miR-142-3p', 'MIMAT0000434')
('hsa-miR-628-3p', 'MIMAT0003297')
('hsa-miR-16-2-3p', 'MIMAT0004518')
('hsa-miR-3193', 'MIMAT0015077')
('hsa-miR-507', 'MIMAT0002879')
('hsa-miR-3690', 'MIMAT0018119')
