('53840', 'TRIM34', '53840', 'TRIM34')
('54967', 'CXorf48', '54967', 'CT55')
('57129', 'MRPL47', '57129', 'MRPL47')
('55721', 'IQCC', '55721', 'IQCC')
('57654', 'KIAA1530', '57654', 'UVSSA')
('257194', 'NEGR1', '257194', 'NEGR1')
('63036', 'CELA2A', '63036', 'CELA2A')
('80095', 'ZNF606', '80095', 'ZNF606')
('10505', 'SEMA4F', '10505', 'SEMA4F')
('1745', 'DLX1', '1745', 'DLX1')
('55816', 'DOK5', '55816', 'DOK5')
('157922', 'CAMSAP1', '157922', 'CAMSAP1')
('10333', 'TLR6', '10333', 'TLR6')
('116093', 'DIRC1', '116093', 'DIRC1')
('79854', 'NCRNA00115', '79854', 'LINC00115')
('4999', 'ORC2L', '4999', 'ORC2')
('8519', 'IFITM1', '8519', 'IFITM1')
('54497', 'HEATR5B', '54497', 'HEATR5B')
('9675', 'KIAA0406', '9675', 'TTI1')
('3932', 'LCK', '3932', 'LCK')
('22824', 'HSPA4L', '22824', 'HSPA4L')
('646851', 'LOC646851', '646851', 'FAM227A')
('8828', 'NRP2', '8828', 'NRP2')
('349196', 'LOC349196', '349196', 'LINC00965')
('285533', 'RNF175', '285533', 'RNF175')
('3717', 'JAK2', '3717', 'JAK2')
('9535', 'GMFG', '9535', 'GMFG')
('94030', 'LRRC4B', '94030', 'LRRC4B')
('8497', 'PPFIA4', '8497', 'PPFIA4')
('389125', 'MUSTN1', '389125', 'MUSTN1')
('389203', 'C4orf52', '389203', 'SMIM20')
('6619', 'SNAPC3', '6619', 'SNAPC3')
('55154', 'MSTO1', '55154', 'MSTO1')
('1281', 'COL3A1', '1281', 'COL3A1')
('144233', 'BCDIN3D', '144233', 'BCDIN3D')
('140467', 'ZNF358', '140467', 'ZNF358')
('7745', 'ZNF192', '7745', 'ZKSCAN8')
('5105', 'PCK1', '5105', 'PCK1')
('28966', 'SNX24', '28966', 'SNX24')
('5004', 'ORM1', '5004', 'ORM1')
('89796', 'NAV1', '89796', 'NAV1')
('283316', 'CD163L1', '283316', 'CD163L1')
('111', 'ADCY5', '111', 'ADCY5')
('4435', 'CITED1', '4435', 'CITED1')
('84254', 'CAMKK1', '84254', 'CAMKK1')
('1854', 'DUT', '1854', 'DUT')
('9808', 'KIAA0087', '9808', 'KIAA0087')
('25840', 'METTL7A', '25840', 'METTL7A')
('3386', 'ICAM4', '3386', 'ICAM4')
('100130742', 'LRRC69', '100130742', 'LRRC69')
('57136', 'C20orf3', '57136', 'APMAP')
('283507', 'SUGT1L1', '283507', 'SUGT1P3')
('90799', 'CCDC45', '90799', 'CEP95')
('10475', 'TRIM38', '10475', 'TRIM38')
('92973', 'LOC92973', '92973', 'LINC00950')
('1295', 'COL8A1', '1295', 'COL8A1')
('122786', 'FRMD6', '122786', 'FRMD6')
