('T148768', 'CAT1940')
('T162710', 'PNAT17.3')
('T102696', 'KCCAT56.1')
('T190904', 'HICLINC54.1')
('T139546', 'HICLINC338')
('T177855', 'CAT2117.2')
('T372052', 'PHKA2-AS1.3')
('T352506', 'KCCAT378.1')
('T291184', 'MIR143HG.4')
('T327807', 'CAT949.1')
('T125434', 'LACAT170')
('T255499', 'LGAT55')
('T171443', 'BRCAT60')
('T290637', 'CAT726')
('T115989', 'CAT1736.2')
('T187833', 'RMDN2-AS1.2')
('T328201', 'CAT952')
('T346493', 'KCCAT199')
('T284143', 'CAT674')
('T120429', 'CAT1776.2')
('T010574', 'KCCAT58.1')
('T320791', 'THCAT94')
('T079492', 'CAT1524.1')
('T079630', 'PRCAT144')
('T194800', 'CAT277.1')
('T224103', 'LINC00320.3')
('T093344', 'KHCAT38')
('T094623', 'LACAT116')
('T371236', 'THCAT228')
('T002085', 'AMAT105')
('T036720', 'LINC00707.2')
('T111438', 'LGAT101')
('T354539', 'ZNF252P-AS1')
('T067342', 'KHCAT295')
('T336462', 'THCAT473')
('T065380', 'CAT1406.1')
('T187678', 'BRCAT143.1')
('T062911', 'ANO1-AS1')
('T004923', 'CAT26')
('T106366', 'CAT1681.2')
('T078701', 'CAT1517.3')
('T171376', 'THCAT432')
('T045002', 'LINC00857.1')
('T248987', 'LSCAT24.1')
('T085712', 'CAT1565')
('T012887', 'GNG12-AS1.2')
('T256976', 'THCAT65')
('T084303', 'CAT1561')
('T231786', 'KHCAT171')
('T203112', 'CAT331.5')
('T025046', 'CAT136.1')
('T087442', 'LGAT26')
('T281794', 'CAT656.4')
('T159657', 'GATA6-AS1.4')
('T165339', 'CAT2041.1')
('T248637', 'LSCAT149')
('T133992', 'KCCAT494.2')
('T332762', 'KCCAT48')
('T298925', 'LSCAT254')
('T332528', 'KCCAT90')
('T351205', 'CCAT1.2')
('T011514', 'CAT54.2')
('T047724', 'MBAT88')
('T361120', 'CAT1158')
('T180251', 'CAT2127.2')
('T157805', 'CAT1993')
('T230820', 'KHCAT154')
('T363034', 'CAT1168.2')
('T071276', 'CAT1452.1')
('T304472', 'CAT807.2')
